Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Baby/Toddler clothing features (product.metafields.shopify.baby-toddler-clothing-features),Baby/Toddler sleepwear style (product.metafields.shopify.baby-toddler-sleepwear-style),Care instructions (product.metafields.shopify.care-instructions),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Intimate apparel features (product.metafields.shopify.intimate-apparel-features),Neckline (product.metafields.shopify.neckline),One-piece style (product.metafields.shopify.one-piece-style),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Status
love-peace-joy-printed-kids-hoodie-set,,,,,,,,,9 - 10 Years,,,silver,,,,,'10715023,500.0,shopify,123,continue,manual,1399.00,0.00,true,false,,,,,'10715023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_f3b6b547-f61f-4a6e-96b3-fd6d4327b148.png?v=1730899784,kg,,,,,,
love-peace-joy-printed-kids-hoodie-set,,,,,,,,,9 - 10 Years,,,yellow-1,,,,,'10715024,500.0,shopify,123,continue,manual,1399.00,0.00,true,false,,,,,'10715024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/7_dd72b5a4-aeef-450c-b82b-3155dc993c4b.png?v=1730899799,kg,,,,,,
love-peace-joy-printed-kids-hoodie-set,,,,,,,,,9 - 10 Years,,,dark-grey,,,,,'10715025,500.0,shopify,123,continue,manual,1399.00,0.00,true,false,,,,,'10715025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/3_b8bcfdd5-97d4-4a9d-8e15-361dc937fbe6.png?v=1730899816,kg,,,,,,
love-peace-joy-printed-kids-hoodie-set,,,,,,,,,9 - 10 Years,,,navy-1,,,,,'10715026,500.0,shopify,123,continue,manual,1399.00,0.00,true,false,,,,,'10715026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/2_7cf3f76f-cefa-4bd4-bb74-11c853f8d2fb.png?v=1730899755,kg,,,,,,
love-peace-joy-printed-kids-hoodie-set,,,,,,,,,11 - 12 Years,,,red,,,,,'10715027,500.0,shopify,123,continue,manual,1399.00,0.00,true,false,,,,,'10715027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/6_f937c3d6-84d6-462c-a99a-52d98196eb6b.png?v=1730899738,kg,,,,,,
love-peace-joy-printed-kids-hoodie-set,,,,,,,,,11 - 12 Years,,,blue,,,,,'10715028,500.0,shopify,123,continue,manual,1399.00,0.00,true,false,,,,,'10715028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/1_102da667-ab16-474c-b328-31b20f095422.png?v=1730899830,kg,,,,,,
love-peace-joy-printed-kids-hoodie-set,,,,,,,,,11 - 12 Years,,,pink,,,,,'10715029,500.0,shopify,123,continue,manual,1399.00,0.00,true,false,,,,,'10715029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/5_cda31be4-d7bb-4251-b930-cba251d993a6.png?v=1730899768,kg,,,,,,
love-peace-joy-printed-kids-hoodie-set,,,,,,,,,11 - 12 Years,,,silver,,,,,'10715030,500.0,shopify,123,continue,manual,1399.00,0.00,true,false,,,,,'10715030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_f3b6b547-f61f-4a6e-96b3-fd6d4327b148.png?v=1730899784,kg,,,,,,
love-peace-joy-printed-kids-hoodie-set,,,,,,,,,11 - 12 Years,,,yellow-1,,,,,'10715031,500.0,shopify,123,continue,manual,1399.00,0.00,true,false,,,,,'10715031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/7_dd72b5a4-aeef-450c-b82b-3155dc993c4b.png?v=1730899799,kg,,,,,,
love-peace-joy-printed-kids-hoodie-set,,,,,,,,,11 - 12 Years,,,dark-grey,,,,,'10715032,500.0,shopify,123,continue,manual,1399.00,0.00,true,false,,,,,'10715032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/3_b8bcfdd5-97d4-4a9d-8e15-361dc937fbe6.png?v=1730899816,kg,,,,,,
