Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Baby/Toddler clothing features (product.metafields.shopify.baby-toddler-clothing-features),Baby/Toddler sleepwear style (product.metafields.shopify.baby-toddler-sleepwear-style),Care instructions (product.metafields.shopify.care-instructions),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Intimate apparel features (product.metafields.shopify.intimate-apparel-features),Neckline (product.metafields.shopify.neckline),One-piece style (product.metafields.shopify.one-piece-style),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Status
cool-sleeveless-shorts-set,,,,,,,,,2-3-years,,,black,,,,,'10760376,500.0,shopify,99,deny,manual,999.00,0.00,true,false,,,,,'10760376,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/imgi_45_ChatGPT_Image_Mar_2_2026_08_02_23_PM_1080x_6f3f3b03-0aa8-4b85-9dcb-b844b169efc6.webp?v=1776072781,4,Red Truck Kids Short Sleeve Kids Wear - back view - kids wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
cool-sleeveless-shorts-set,,,,,,,,,3-4-years,,,black,,,,,'10760377,500.0,shopify,99,deny,manual,999.00,0.00,true,false,,,,,'10760377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
cool-sleeveless-shorts-set,,,,,,,,,4-5-years,,,black,,,,,'10760378,500.0,shopify,99,deny,manual,999.00,0.00,true,false,,,,,'10760378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
cool-sleeveless-shorts-set,,,,,,,,,5-6-years,,,black,,,,,'10760379,500.0,shopify,99,deny,manual,999.00,0.00,true,false,,,,,'10760379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
sweet-dreams-koala-kids-night-suit-purple,Sweet Dreams Koala Kids Night Suit – Purple,"<p data-start=""207"" data-end=""420"">Make bedtime extra cozy and cute with the <em data-start=""249"" data-end=""285"">Sweet Dreams Koala Kids Night Suit</em>. Featuring an adorable koala “Good Night” graphic on a soft purple tee, this set is designed to bring comfort and smiles before sleep.</p>
<p data-start=""422"" data-end=""663"">The matching white trousers with playful elephant and floral prints add a fun, dreamy touch—perfect for little ones who love cute characters. Made from soft, breathable fabric, it ensures a comfortable night’s sleep and relaxed wear at home.</p>
<p data-start=""665"" data-end=""772"">Whether it’s bedtime, lounging, or lazy weekends, this night suit is a must-have for your child’s wardrobe.</p>
<p data-start=""774"" data-end=""793""><strong data-start=""774"" data-end=""791"">Key Features:</strong></p>
<ul data-start=""794"" data-end=""1010"">
<li data-section-id=""11ypm3m"" data-start=""794"" data-end=""842"">Soft &amp; breathable fabric for maximum comfort</li>
<li data-section-id=""kczi5q"" data-start=""843"" data-end=""884"">Cute koala “Good Night” graphic print</li>
<li data-section-id=""77xekd"" data-start=""885"" data-end=""927"">Fun elephant &amp; floral printed trousers</li>
<li data-section-id=""1ly0lde"" data-start=""928"" data-end=""962"">Lightweight and gentle on skin</li>
<li data-section-id=""1de0bqe"" data-start=""963"" data-end=""1010"">Perfect for nightwear, lounging &amp; home wear</li>
</ul>",BBG FASHION CLOTHING STORE,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outfits,Kids Pajama Set,Kids Pajama Set,false,Size,1-2-years,product.metafields.shopify.size,,,,,,,'10718102,0.4,,-2,deny,manual,999.00,,true,false,,,,,'10718102,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_45.jpg?v=1776086854,1,Sweet Dreams Koala Kids Night Suit Purple - front view - kids wear Pakistan,false,,"Shop the Sweet Dreams Koala Kids Purple Night Suit with cute prints and soft fabric. Comfortable, breathable, and perfect for bedtime and lounging.",,,,,,,,,,,,,,,,,breathable-design,,,,multicolor; animal; floral,,,soft-cotton-jersey,,,,,,,1-2-years; 3-4-years; 5-6-years; 7-8-years; 9-10-years,,,girls,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/2_48.jpg?v=1774368286,g,,,true,,,draft
sweet-dreams-koala-kids-night-suit-purple,,,,,,,,,3-4-years,,,,,,,,'10718103,0.4,,-1,deny,manual,999.00,,true,false,,,,,'10718103,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/3_47.jpg?v=1776086854,2,Sweet Dreams Koala Kids Night Suit Purple - back view - kids wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/2_48.jpg?v=1774368286,g,,,,,,
sweet-dreams-koala-kids-night-suit-purple,,,,,,,,,5-6-years,,,,,,,,'10718104,0.4,,0,deny,manual,999.00,,true,false,,,,,'10718104,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/1_46.jpg?v=1776086854,3,Sweet Dreams Koala Kids Night Suit Purple - side view - kids wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/2_48.jpg?v=1774368286,g,,,,,,
sweet-dreams-koala-kids-night-suit-purple,,,,,,,,,7-8-years,,,,,,,,'10718105,0.4,,0,deny,manual,999.00,,true,false,,,,,'10718105,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/5_45.jpg?v=1774368286,4,Sweet Dreams Koala Kids Night Suit Purple - detail shot - kids wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/2_48.jpg?v=1774368286,g,,,,,,
sweet-dreams-koala-kids-night-suit-purple,,,,,,,,,9-10-years,,,,,,,,'10707070,0.4,,0,deny,manual,999.00,,true,false,,,,,'10707070,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/2_48.jpg?v=1774368286,5,Sweet Dreams Koala Kids Night Suit Purple - front view - kids wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/2_48.jpg?v=1774368286,g,,,,,,
sweet-dreams-koala-kids-night-suit-purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/imgi_20_imgi_80_BBg_Kids_Size_chart_1080x_1_1080x_540x_c8469403-835b-4f1d-a17f-a03df65f95ad.webp?v=1774368034,6,Sweet Dreams Koala Kids Night Suit Purple size chart - measurements guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
