Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Baby/Toddler clothing features (product.metafields.shopify.baby-toddler-clothing-features),Baby/Toddler sleepwear style (product.metafields.shopify.baby-toddler-sleepwear-style),Care instructions (product.metafields.shopify.care-instructions),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Intimate apparel features (product.metafields.shopify.intimate-apparel-features),Neckline (product.metafields.shopify.neckline),One-piece style (product.metafields.shopify.one-piece-style),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Status
kids-bunny-winter-sweat-shirt-set-yellow-white,,,,,,,,,3-4-years,,,,,,,,'10743008,500.0,,99,deny,manual,1699.00,,true,false,,,,,'10743008,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/BBg_Kids_Size_chart_2b336c6e-f810-47dc-bc9a-69fea9e3b06b.webp?v=1767096499,2,Yellow White Bunny Kids Sweatshirt Pant size chart - measurements guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,
kids-bunny-winter-sweat-shirt-set-yellow-white,,,,,,,,,5-6-years,,,,,,,,'10743009,500.0,,99,deny,manual,1699.00,,true,false,,,,,'10743009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,
kids-bunny-winter-sweat-shirt-set-yellow-white,,,,,,,,,7-8-years,,,,,,,,'10743010,500.0,,99,deny,manual,1699.00,,true,false,,,,,'10743010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,
kids-bunny-winter-sweat-shirt-set-yellow-white,,,,,,,,,9-10-years,,,,,,,,'10743011,500.0,,99,deny,manual,1699.00,,true,false,,,,,'10743011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,
kids-bunny-winter-sweat-shirt-set-yellow-white,,,,,,,,,11-12-years,,,,,,,,'10743012,500.0,,99,deny,manual,1699.00,,true,false,,,,,'10743012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,
women-round-neck-lounge-wear-rusty,Women Round-Neck Lounge Wear - Rusty,"<h4>Women Round-Neck Lounge Wear - Rusty</h4>
<p data-start=""796"" data-end=""1055"">Upgrade your everyday comfort with this<span> <strong>Women Round-Neck Lounge Wear - Rusty</strong> </span>designed for a minimal yet stylish look. Featuring a soft full-sleeve top paired with relaxed-fit trousers, this set is perfect for effortless lounging and restful sleep.                                   Made from breathable, lightweight fabric, it feels gentle on the skin and provides all-day comfort. The relaxed silhouette ensures ease of movement, while the clean, modern design makes it a timeless wardrobe essential.</p>
<p data-start=""1278"" data-end=""1399"">Whether you're relaxing at home or winding down for the night, this set delivers comfort with a sleek, minimal aesthetic.</p>
<h3 data-section-id=""1s1yvt8"" data-start=""1401"" data-end=""1422""><span role=""text""><strong data-start=""1405"" data-end=""1422"">Key Features:</strong></span></h3>
<ul data-start=""1423"" data-end=""1665"">
<li data-section-id=""3pudom"" data-start=""1423"" data-end=""1466"">
<p data-start=""1425"" data-end=""1466"">Soft, breathable &amp; skin-friendly fabric</p>
</li>
<li data-section-id=""f46jwt"" data-start=""1467"" data-end=""1502"">
<p data-start=""1469"" data-end=""1502"">Relaxed fit for maximum comfort</p>
</li>
<li data-section-id=""18ur8r5"" data-start=""1503"" data-end=""1538"">
<p data-start=""1505"" data-end=""1538"">Full sleeves for added coverage</p>
</li>
<li data-section-id=""1bktu6g"" data-start=""1539"" data-end=""1574"">
<p data-start=""1541"" data-end=""1574"">Elastic waistband for easy wear</p>
</li>
<li data-section-id=""1puuocb"" data-start=""1575"" data-end=""1622"">
<p data-start=""1577"" data-end=""1622"">Ideal for sleep, lounging &amp; daily home wear</p>
</li>
<li data-section-id=""axj0un"" data-start=""1623"" data-end=""1665"">
<p data-start=""1625"" data-end=""1665"">Available in multiple versatile colors</p>
</li>
</ul>",BBG FASHION,Apparel & Accessories > Clothing > Sleepwear & Loungewear,Article 52,Loungewear,true,Size,medium,product.metafields.shopify.size,,,,,,,'10742965,500.0,shopify,98,deny,manual,1599.00,,true,false,,,,,'10742965,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_2643d068-a732-471f-a32f-95776b4057ef.jpg?v=1776864497,1,"",false,,"Shop Women Round-Neck Lounge Wear with breathable fabric & relaxed fit. Minimal, stylish & perfect for sleep or home wear. Available in multiple colors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium; large; xl; xxl,,,,,,,,,,,g,,,true,,,active
women-round-neck-lounge-wear-rusty,,,,,,,,,large,,,,,,,,'10742966,500.0,shopify,99,deny,manual,1599.00,,true,false,,,,,'10742966,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/2_5fadeaa8-786b-4eeb-932c-fa8214b553d4.jpg?v=1776864497,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,
women-round-neck-lounge-wear-rusty,,,,,,,,,xl,,,,,,,,'10742967,500.0,shopify,99,deny,manual,1599.00,,true,false,,,,,'10742967,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/3_38ee04f6-4762-40a8-9c00-547dcab772e7.jpg?v=1776864497,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,
women-round-neck-lounge-wear-rusty,,,,,,,,,xxl,,,,,,,,'10742968,500.0,shopify,98,deny,manual,1599.00,,true,false,,,,,'10742968,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/1_c5aa734b-6d0e-4fc5-b030-d446ff3c3571.jpg?v=1776864497,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,
women-round-neck-lounge-wear-rusty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/5_47c044ea-1c53-40dd-a6e3-31d23473c446.jpg?v=1776864497,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
