Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Baby/Toddler clothing features (product.metafields.shopify.baby-toddler-clothing-features),Baby/Toddler sleepwear style (product.metafields.shopify.baby-toddler-sleepwear-style),Care instructions (product.metafields.shopify.care-instructions),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Intimate apparel features (product.metafields.shopify.intimate-apparel-features),Neckline (product.metafields.shopify.neckline),One-piece style (product.metafields.shopify.one-piece-style),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Status
dino-saur-world-printed-kids-hoodie-set-copy,,,,,,,,,11 - 12 Years,,,yellow-1,,,,,'10716928,500.0,shopify,200,continue,manual,1399.00,0.00,true,false,,,,,'10716928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_8.02.27_PM.jpg?v=1736247591,kg,,,,,,
dino-saur-world-printed-kids-hoodie-set-copy,,,,,,,,,11 - 12 Years,,,navy-1,,,,,'10716929,500.0,shopify,200,continue,manual,1399.00,0.00,true,false,,,,,'10716929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_8.02.29_PM_1.jpg?v=1736247591,kg,,,,,,
dino-saur-world-printed-kids-hoodie-set-copy,,,,,,,,,11 - 12 Years,,,dark-grey,,,,,'10706997,500.0,shopify,200,continue,manual,1399.00,0.00,true,false,,,,,'10706997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_8.02.29_PM.jpg?v=1736247591,kg,,,,,,
super-mario-printed-kids-hoodie-set-copy,Kids Winter Hoodie Set | Dinosaur World Printed,"<h4><strong><span data-sheets-root=""1"">Kids Winter Hoodie Set | Dinosaur World Printed<br><br></span></strong></h4>
<p data-start=""199"" data-end=""432"">Featuring an exciting dinosaur-themed design, this outfit brings imagination and energy to your little one’s everyday style.</p>
<p data-start=""434"" data-end=""703"">Made from soft, premium fleece fabric, the hoodie keeps your child warm and cozy during chilly days, while the matching jogger pants provide a relaxed and comfortable fit for active play. Whether it’s school, playtime, or outings, this set is built for comfort and fun.</p>
<p data-start=""705"" data-end=""845"">The vibrant “Dinosaur World” print adds a bold and adventurous look, making it a perfect choice for kids who love dinosaurs and exploration.</p>
<p data-start=""847"" data-end=""862"">✨ <strong data-start=""849"" data-end=""862"">Features:</strong></p>
<ul data-start=""863"" data-end=""1090"">
<li data-section-id=""m2jogh"" data-start=""863"" data-end=""906"">Soft fleece fabric for warmth &amp; comfort</li>
<li data-section-id=""11qfksa"" data-start=""907"" data-end=""952"">Exciting dinosaur world printed design 🦖</li>
<li data-section-id=""gklsta"" data-start=""953"" data-end=""991"">Cozy hoodie with soft inner lining</li>
<li data-section-id=""1qd8zxj"" data-start=""992"" data-end=""1040"">Matching jogger pants with elastic waistband</li>
<li data-section-id=""9bnese"" data-start=""1041"" data-end=""1090"">Ideal for daily wear, school &amp; winter outings</li>
</ul>
<p data-start=""1092"" data-end=""1160"">Let your kids stay <strong data-start=""1111"" data-end=""1147"">warm, comfy, and adventure-ready</strong> this winter!</p>
<h4><strong><span data-sheets-root=""1""><br></span></strong></h4>",BBG FASHION,Apparel & Accessories > Clothing > Baby & Toddler Clothing,Kids Hoodie Set,Kids Winter Collection,true,Size,1 - 2 Years,,Color,blue,product.metafields.shopify.color-pattern,,,,'10716848,500.0,shopify,100,continue,manual,1399.00,0.00,true,false,,,,,'10716848,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.30_PM.jpg?v=1736247290,1,Super Mario Printed Kids Hoodie Set Copy - close-up detail - kids wear Pakistan,false,,"Shop Kids Winter Hoodie Set Dinosaur World Printed in soft fleece. Warm, cozy & fun winter outfit for kids. Perfect everyday wear in Pakistan. Order now!",182,,,,,,,,,,,,,,,,,,,,blue; red; pink; silver; yellow-1; navy-1; dark-grey,,,fleece,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.32_PM_1.jpg?v=1736247290,kg,,,true,,,active
super-mario-printed-kids-hoodie-set-copy,,,,,,,,,1 - 2 Years,,,red,,,,,'10716849,500.0,shopify,100,continue,manual,1399.00,0.00,true,false,,,,,'10716849,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.28_PM.jpg?v=1736247290,2,Super Mario Printed Kids Hoodie Set Copy - front view - kids wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.29_PM.jpg?v=1736247290,kg,,,,,,
super-mario-printed-kids-hoodie-set-copy,,,,,,,,,1 - 2 Years,,,pink,,,,,'10716850,500.0,shopify,100,continue,manual,1399.00,0.00,true,false,,,,,'10716850,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.29_PM.jpg?v=1736247290,3,Super Mario Printed Kids Hoodie Set Copy - back view - kids wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.30_PM.jpg?v=1736247290,kg,,,,,,
super-mario-printed-kids-hoodie-set-copy,,,,,,,,,1 - 2 Years,,,silver,,,,,'10716851,500.0,shopify,100,continue,manual,1399.00,0.00,true,false,,,,,'10716851,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.30_PM_1.jpg?v=1736247290,4,Super Mario Printed Kids Hoodie Set Copy - detail shot - kids wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.30_PM_1.jpg?v=1736247290,kg,,,,,,
super-mario-printed-kids-hoodie-set-copy,,,,,,,,,1 - 2 Years,,,yellow-1,,,,,'10716852,500.0,shopify,100,continue,manual,1399.00,0.00,true,false,,,,,'10716852,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.31_PM.jpg?v=1736247290,5,Super Mario Printed Kids Hoodie Set Copy - flat lay - kids wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.28_PM.jpg?v=1736247290,kg,,,,,,
super-mario-printed-kids-hoodie-set-copy,,,,,,,,,1 - 2 Years,,,navy-1,,,,,'10716853,500.0,shopify,100,continue,manual,1399.00,0.00,true,false,,,,,'10716853,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.32_PM_1.jpg?v=1736247290,6,Super Mario Printed Kids Hoodie Set Copy - lifestyle view - kids wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.32_PM.jpg?v=1736247290,kg,,,,,,
super-mario-printed-kids-hoodie-set-copy,,,,,,,,,1 - 2 Years,,,dark-grey,,,,,'10716854,500.0,shopify,100,continue,manual,1399.00,0.00,true,false,,,,,'10716854,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.32_PM.jpg?v=1736247290,7,Super Mario Printed Kids Hoodie Set Copy size chart - measurements guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/WhatsApp_Image_2025-01-06_at_7.57.31_PM.jpg?v=1736247290,kg,,,,,,
